
== sample-plan.pdf @ 1/4" (2448x1584 img px, 36 mask px/ft) ==
    25.2 SF     21.7 LF  (bbox 21.7 LF, x1.00)  verts=  4  (2268,2052)pt
    24.6 SF     22.1 LF  (bbox 22.0 LF, x1.01)  verts=  6 sealed@1  (2133,162)pt
    24.5 SF     21.3 LF  (bbox 21.3 LF, x1.00)  verts=  4  (2403,2052)pt
    24.1 SF     31.0 LF  (bbox 28.0 LF, x1.11)  verts= 13  (2106,432)pt
    23.9 SF     27.4 LF  (bbox 27.6 LF, x0.99)  verts=  8  +swing  (1296,594)pt
    23.6 SF     48.0 LF  (bbox 41.7 LF, x1.15)  verts= 29  (1431,567)pt
    23.2 SF     23.8 LF  (bbox 24.0 LF, x0.99)  verts=  4  (1269,513)pt
    22.8 SF     30.9 LF  (bbox 31.6 LF, x0.98)  verts= 10  (1647,432)pt
    22.5 SF     24.2 LF  (bbox 19.3 LF, x1.26)  verts= 11  (2619,297)pt
    22.2 SF     22.4 LF  (bbox 22.4 LF, x1.00)  verts=  4  (324,1026)pt
    21.2 SF     49.1 LF  (bbox 49.1 LF, x1.00)  verts=  4  (189,1188)pt
    21.1 SF     32.5 LF  (bbox 19.0 LF, x1.71)  verts= 19  (2565,297)pt  <<< PERIM EXCESS
